p_0,p_1,alpha_2,mu0_0,mu0_1,beta_2,mu1_0,mu1_1,gamma_2,count,bias_RA,var_RA,bias_IPW,var_IPW,bias_AIPW,var_AIPW,bias_IPWRA,var_IPWRA,bias_NNMATCH,var_NNMATCH,bias_PSMATCH,var_PSMATCH,_merge,MSE_RA,MSE_IPW,MSE_AIPW,MSE_IPWRA,MSE_NNMATCH,MSE_PSMATCH,min_absbias,minimizing_absbias
.75,.25,-1.42,.25,.75,-.5,.25,.75,1.42,58,-.011885313,.0028079012,-.19032387,.04858702,.046984319,.014101687,.21121868,.0077490071,-.0023430001,.0046242075,-.002228,.0046310285,matched (3),.0029491619,.084810197,.016309213,.052362341,.0046296972,.0046359925,.011885313,1
.75,.25,-1.42,.25,.75,-.5,.5,.5,-1.6,59,.030992074,.0027037829,-.1550446,.048712317,.082706794,.014062404,-.51439792,.0080075078,-.003269,.0044862372,-.003177,.0044970149,matched (3),.0036642915,.072751142,.020902818,.27261272,.0044969236,.0045071081,.030992074,1
.75,.25,-1.42,.25,.75,-.5,.5,.5,1.6,60,-.01530874,.0029708191,-.18881182,.049323678,.044020697,.013894117,-.0062586498,.0082843034,-.0033980007,.0049073561,-.0032840006,.0049101892,matched (3),.0032051767,.084973581,.01583194,.0083234739,.0049189026,.0049209739,.0062586498,4
.75,.25,-1.42,.25,.75,.5,.75,.25,-1.42,61,.010275418,.0029007231,-.15337025,.040933363,-.046472572,.013665763,-.85170287,.0065899692,-.002316999,.0045845867,-.0022899988,.0045758449,matched (3),.0030063074,.064455792,.015825463,.73198777,.0045899553,.0045810891,.010275418,1
.75,.25,-1.42,.25,.75,.5,.75,.25,-.5,62,-.0032417167,.0031761082,-.16323198,.041310064,-.057781938,.01412003,-.70579863,.0068370448,-.0028230001,.0047103232,-.0027800002,.0047036554,matched (3),.003186617,.067954741,.017458783,.50498873,.0047182925,.004711384,.0032417167,1
.75,.25,-1.42,.25,.75,.5,.75,.25,.5,63,-.017784582,.0031214112,-.17384093,.041151173,-.069952764,.013988884,-.55058235,.0066052359,-.0025339997,.0048272419,-.0024699999,.0048158616,matched (3),.0034377025,.071371838,.018882273,.30974615,.0048336629,.0048219627,.017784582,1
.75,.25,-1.42,.25,.75,.5,.75,.25,1.42,64,-.031129187,.0029232712,-.18360695,.040983994,-.081111081,.013844432,-.4080306,.0064832056,-.0026399998,.0045619369,-.0025919997,.0045495452,matched (3),.0038922974,.074695505,.02042344,.17297217,.0045689065,.0045562638,.031129187,1
.75,.25,-1.42,.25,.75,.5,.25,.75,-1.42,65,.010050215,.0027147701,-.16198181,.040232502,-.046699114,.013215628,-.35793027,.0058072982,-.0022910007,.0043397667,-.0022390008,.0043341531,matched (3),.002815777,.066470608,.015396436,.13392138,.0043450152,.0043391665,.010050215,1
.75,.25,-1.42,.25,.75,.5,.25,.75,-.5,66,-.0027444577,.0029530316,-.17120126,.040679589,-.057312489,.013634943,-.20656823,.0059682238,-.0021620002,.0044516376,-.0021070002,.0044466401,matched (3),.0029605636,.069989458,.016919665,.048638657,.0044563119,.0044510798,.0027444577,1
.75,.25,-1.42,.25,.75,.5,.25,.75,.5,67,-.017148459,.0029554509,-.18169279,.040673506,-.069351807,.013573688,-.045820363,.0061145807,-.002208,.004493461,-.0021470001,.0044843438,matched (3),.0032495207,.07368578,.018383361,.0082140863,.0044983365,.0044889534,.017148459,1
.75,.25,-1.42,.25,.75,.5,.25,.75,1.42,68,-.03033456,.002784675,-.19127329,.040332507,-.080356009,.013345242,.09786509,.0061930977,-.002175,.0044466495,-.00211,.0044382038,matched (3),.0037048606,.076917976,.01980233,.015770674,.0044513801,.0044426559,.03033456,1
.75,.25,-1.42,.25,.75,.5,.5,.5,-1.6,69,.012542827,.0027610578,-.15599401,.04059663,-.044633534,.013493247,-.62775147,.0063646971,-.0031010001,.0043975809,-.0030590002,.0043922621,matched (3),.0029183803,.064930759,.015485399,.40043661,.0044071972,.0044016195,.012542827,1
.75,.25,-1.42,.25,.75,.5,.5,.5,1.6,70,-.033757988,.0028955378,-.18976124,.040916901,-.083319627,.013648715,-.11961224,.0066140271,-.0032299999,.0046393401,-.0031659999,.0046291896,matched (3),.0040351395,.076926231,.020590875,.020921115,.0046497728,.004639213,.033757988,1
.75,.25,-1.42,.25,.75,1.42,.75,.25,-1.42,71,-.0063740346,.0024691399,-.1595757,.034947485,-.16821761,.023388488,-.95322233,.0059792465,.00046900086,.0032147062,.00046800115,.0032121297,matched (3),.0025097681,.060411889,.051685654,.91461205,.0032149262,.0032123488,.0063740346,1
.75,.25,-1.42,.25,.75,1.42,.75,.25,-.5,72,-.019891171,.0026317034,-.16943744,.03516287,-.17952698,.023841998,-.80731809,.0061967159,-.000037000536,.0032645708,-.000022000744,.0032633604,matched (3),.0030273621,.063871913,.056071937,.65795922,.0032645722,.0032633608,.019891171,1
